description,attribute,metric,value
State Data,Statewide,Cases,604516
State Data,Statewide,Hospitalizations,35257
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,3410875
State Data,Statewide,Test Encounters,9974577
State Data,Statewide,Deaths Among Cases,7084
State Data,Statewide,Deaths Due to COVID-19,7354
State Data,Statewide,Outbreaks,5715
State Data,Statewide,Rate Per 100000,10487.83
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,65274
Colorado Case Counts by County,Alamosa County,Cases,1870
Colorado Case Counts by County,Arapahoe County,Cases,67642
Colorado Case Counts by County,Archuleta County,Cases,1233
Colorado Case Counts by County,Baca County,Cases,352
Colorado Case Counts by County,Bent County,Cases,1556
Colorado Case Counts by County,Boulder County,Cases,25966
Colorado Case Counts by County,Broomfield County,Cases,5515
Colorado Case Counts by County,Chaffee County,Cases,1919
Colorado Case Counts by County,Cheyenne County,Cases,145
Colorado Case Counts by County,Clear Creek County,Cases,550
Colorado Case Counts by County,Conejos County,Cases,780
Colorado Case Counts by County,Costilla County,Cases,265
Colorado Case Counts by County,Crowley County,Cases,2224
Colorado Case Counts by County,Custer County,Cases,252
Colorado Case Counts by County,Delta County,Cases,3219
Colorado Case Counts by County,Denver County,Cases,79592
Colorado Case Counts by County,Dolores County,Cases,145
Colorado Case Counts by County,Douglas County,Cases,33288
Colorado Case Counts by County,Eagle County,Cases,7030
Colorado Case Counts by County,El Paso County,Cases,80680
Colorado Case Counts by County,Elbert County,Cases,2038
