description,attribute,metric,value
State Data,Statewide,Cases,673517
State Data,Statewide,Hospitalizations,38752
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,3716775
State Data,Statewide,Test Encounters,11171279
State Data,Statewide,Deaths Among Cases,7594
State Data,Statewide,Deaths Due to COVID-19,7887
State Data,Statewide,Outbreaks,6153
State Data,Statewide,Rate Per 100000,11684.94
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,70930
Colorado Case Counts by County,Alamosa County,Cases,2173
Colorado Case Counts by County,Arapahoe County,Cases,74128
Colorado Case Counts by County,Archuleta County,Cases,1371
Colorado Case Counts by County,Baca County,Cases,398
Colorado Case Counts by County,Bent County,Cases,1622
Colorado Case Counts by County,Boulder County,Cases,28628
Colorado Case Counts by County,Broomfield County,Cases,6198
Colorado Case Counts by County,Chaffee County,Cases,2103
Colorado Case Counts by County,Cheyenne County,Cases,160
Colorado Case Counts by County,Clear Creek County,Cases,702
Colorado Case Counts by County,Conejos County,Cases,893
Colorado Case Counts by County,Costilla County,Cases,339
Colorado Case Counts by County,Crowley County,Cases,2310
Colorado Case Counts by County,Custer County,Cases,312
Colorado Case Counts by County,Delta County,Cases,3493
Colorado Case Counts by County,Denver County,Cases,86035
Colorado Case Counts by County,Dolores County,Cases,191
Colorado Case Counts by County,Douglas County,Cases,37372
Colorado Case Counts by County,Eagle County,Cases,7914
Colorado Case Counts by County,El Paso County,Cases,92151
Colorado Case Counts by County,Elbert County,Cases,2438
Colorado Case Counts by County,Fremont County,Cases,7499
Colorado Case Counts by County,Garfield County,Cases,7263
Colorado Case Counts by County,Gilpin County,Cases,402
Colorado Case Counts by County,Grand County,Cases,2025
Colorado Case Counts by County,Gunnison County,Cases,1746
Colorado Case Counts by County,Hinsdale County,Cases,53
Colorado Case Counts by County,Huerfano County,Cases,571
Colorado Case Counts by County,International,Cases,95
Colorado Case Counts by County,Jackson County,Cases,93
Colorado Case Counts by County,Jefferson County,Cases,58370
Colorado Case Counts by County,Kiowa County,Cases,122
Colorado Case Counts by County,Kit Carson County,Cases,855
Colorado Case Counts by County,La Plata County,Cases,5318
Colorado Case Counts by County,Lake County,Cases,959
Colorado Case Counts by County,Larimer County,Cases,35415
Colorado Case Counts by County,Las Animas County,Cases,1646
Colorado Case Counts by County,Lincoln County,Cases,1229
Colorado Case Counts by County,Logan County,Cases,4429
Colorado Case Counts by County,Mesa County,Cases,21665
Colorado Case Counts by County,Mineral County,Cases,116
Colorado Case Counts by County,Moffat County,Cases,1712
Colorado Case Counts by County,Montezuma County,Cases,2662
Colorado Case Counts by County,Montrose County,Cases,4721
Colorado Case Counts by County,Morgan County,Cases,3131
Colorado Case Counts by County,Otero County,Cases,2356
Colorado Case Counts by County,Ouray County,Cases,390
Colorado Case Counts by County,Park County,Cases,1197
Colorado Case Counts by County,Phillips County,Cases,471
Colorado Case Counts by County,Pitkin County,Cases,3008
Colorado Case Counts by County,Prowers County,Cases,1491
Colorado Case Counts by County,Pueblo County,Cases,22702
Colorado Case Counts by County,Rio Blanco County,Cases,855
Colorado Case Counts by County,Rio Grande County,Cases,1240
Colorado Case Counts by County,Routt County,Cases,3094
Colorado Case Counts by County,Saguache County,Cases,578
Colorado Case Counts by County,San Juan County,Cases,90
Colorado Case Counts by County,San Miguel County,Cases,1096
Colorado Case Counts by County,Sedgwick County,Cases,278
Colorado Case Counts by County,Summit County,Cases,4540
Colorado Case Counts by County,Teller County,Cases,2467
Colorado Case Counts by County,Washington County,Cases,532
Colorado Case Counts by County,Weld County,Cases,42091
Colorado Case Counts by County,Yuma County,Cases,1083
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,5.49
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,12.66
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,21.23
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,18.32
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,14.88
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,12.42
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,8.22
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,4.08
COVID-19 in Colorado by Age Group,80+,Percent of Cases,2.68
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.01
COVID-19 in Colorado by Age Group,0-9,Percent of Deaths,0.05
COVID-19 in Colorado by Age Group,10-19,Percent of Deaths,0.21
COVID-19 in Colorado by Age Group,20-29,Percent of Deaths,0.83
COVID-19 in Colorado by Age Group,30-39,Percent of Deaths,1.46
COVID-19 in Colorado by Age Group,40-49,Percent of Deaths,3.37
COVID-19 in Colorado by Age Group,50-59,Percent of Deaths,7.18
COVID-19 in Colorado by Age Group,60-69,Percent of Deaths,13.91
COVID-19 in Colorado by Age Group,70-79,Percent of Deaths,24.24
COVID-19 in Colorado by Age Group,80+,Percent of Deaths,48.75
COVID-19 in Colorado by Age Group,0-9,Percent of Colorado Population,11.61
COVID-19 in Colorado by Age Group,10-19,Percent of Colorado Population,13.01
COVID-19 in Colorado by Age Group,20-29,Percent of Colorado Population,14.66
COVID-19 in Colorado by Age Group,30-39,Percent of Colorado Population,14.6
COVID-19 in Colorado by Age Group,40-49,Percent of Colorado Population,12.98
COVID-19 in Colorado by Age Group,50-59,Percent of Colorado Population,12.48
COVID-19 in Colorado by Age Group,60-69,Percent of Colorado Population,11.04
COVID-19 in Colorado by Age Group,70-79,Percent of Colorado Population,6.44
COVID-19 in Colorado by Age Group,80+,Percent of Colorado Population,3.2
COVID-19 in Colorado by Age Group,Unknown,Percent of Colorado Population,0
COVID-19 in Colorado by Age Group,Note,Percent of cases and deaths by age group compared to percent of total Colorado (CO) population.,NA
COVID-19 in Colorado by Age Group,Note,"Population Data: Colorado Department of Local Affairs State Demography Office, 2018 Regional Estimates",NA
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Cases,0.56
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Cases,1.5
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Cases,3.06
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Cases,25.22
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Cases,1.8
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Cases,0.27
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Cases,46.71
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Cases,0.82
COVID-19 in Colorado by Race & Ethnicity,Unknown/Not Provided,Percent of Cases,20.07
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Deaths,0.59
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Deaths,1.76
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Deaths,3.44
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Deaths,20.28
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Deaths,3.45
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Deaths,0.14
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Deaths,65.13
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Deaths,0.79
COVID-19 in Colorado by Race & Ethnicity,Unknown/Not Provided,Percent of Deaths,4.41
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Colorado Population,0.56
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Colorado Population,3.12
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Colorado Population,3.92
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Colorado Population,21.69
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Colorado Population,2.65
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Colorado Population,0.12
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Colorado Population,67.76
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Colorado Population,0.19
COVID-19 in Colorado by Race & Ethnicity,Note,Percent of cases and deaths by race and ethnicity compared to percent of total Colorado (CO) population.,NA
COVID-19 in Colorado by Race & Ethnicity,Note,"Population Data: U.S. Census Bureau, 2018 American Community Survey 1-Year Estimates",NA
COVID-19 in Colorado by Sex,Female,Percent of Cases,49.94
COVID-19 in Colorado by Sex,Female to Male,Percent of Cases,0.01
COVID-19 in Colorado by Sex,Male,Percent of Cases,48.78
COVID-19 in Colorado by Sex,Male to Female,Percent of Cases,0.01
COVID-19 in Colorado by Sex,Unknown,Percent of Cases,1.26
COVID-19 in Colorado by Sex,Female,Percent of Deaths,44.98
COVID-19 in Colorado by Sex,Male,Percent of Deaths,54.92
COVID-19 in Colorado by Sex,Male to Female,Percent of Deaths,0.03
COVID-19 in Colorado by Sex,Unknown,Percent of Deaths,0.07
Case Status for Cases & Deaths,Confirmed,Number of Cases,621035
Case Status for Cases & Deaths,Confirmed,Percent of Cases,0.92
Case Status for Cases & Deaths,Confirmed,Number of Deaths,6752
Case Status for Cases & Deaths,Confirmed,Percent of Deaths,0.89
Case Status for Cases & Deaths,Probable,Number of Cases,52482
Case Status for Cases & Deaths,Probable,Percent of Cases,0.08
Case Status for Cases & Deaths,Probable,Number of Deaths,842
