description,attribute,metric,value
State Data,Statewide,Cases,858382
State Data,Statewide,Hospitalizations,48935
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,4195419
State Data,Statewide,Test Encounters,13554347
State Data,Statewide,Deaths Among Cases,9670
State Data,Statewide,Deaths Due to COVID-19,9954
State Data,Statewide,Outbreaks,7033
State Data,Statewide,Rate Per 100000,14892.19
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,87343
Colorado Case Counts by County,Alamosa County,Cases,3014
Colorado Case Counts by County,Arapahoe County,Cases,92324
Colorado Case Counts by County,Archuleta County,Cases,1978
Colorado Case Counts by County,Baca County,Cases,578
Colorado Case Counts by County,Bent County,Cases,1924
Colorado Case Counts by County,Boulder County,Cases,35807
Colorado Case Counts by County,Broomfield County,Cases,7892
Colorado Case Counts by County,Chaffee County,Cases,2764
Colorado Case Counts by County,Cheyenne County,Cases,240
Colorado Case Counts by County,Clear Creek County,Cases,920
Colorado Case Counts by County,Conejos County,Cases,1168
Colorado Case Counts by County,Costilla County,Cases,436
Colorado Case Counts by County,Crowley County,Cases,2486
Colorado Case Counts by County,Custer County,Cases,480
Colorado Case Counts by County,Delta County,Cases,4683
Colorado Case Counts by County,Denver County,Cases,105104
Colorado Case Counts by County,Dolores County,Cases,272
Colorado Case Counts by County,Douglas County,Cases,47238
Colorado Case Counts by County,Eagle County,Cases,9429
Colorado Case Counts by County,El Paso County,Cases,118247
