description,attribute,metric,value
State Data,Statewide,Cases,682773
State Data,Statewide,Hospitalizations,39214
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,3745900
State Data,Statewide,Test Encounters,11304008
State Data,Statewide,Deaths Among Cases,7665
State Data,Statewide,Deaths Due to COVID-19,7957
State Data,Statewide,Outbreaks,6201
State Data,Statewide,Rate Per 100000,11845.52
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,71596
Colorado Case Counts by County,Alamosa County,Cases,2219
Colorado Case Counts by County,Arapahoe County,Cases,74922
Colorado Case Counts by County,Archuleta County,Cases,1384
Colorado Case Counts by County,Baca County,Cases,404
Colorado Case Counts by County,Bent County,Cases,1630
Colorado Case Counts by County,Boulder County,Cases,29002
Colorado Case Counts by County,Broomfield County,Cases,6268
Colorado Case Counts by County,Chaffee County,Cases,2126
Colorado Case Counts by County,Cheyenne County,Cases,162
Colorado Case Counts by County,Clear Creek County,Cases,716
Colorado Case Counts by County,Conejos County,Cases,913
Colorado Case Counts by County,Costilla County,Cases,345
Colorado Case Counts by County,Crowley County,Cases,2321
Colorado Case Counts by County,Custer County,Cases,326
Colorado Case Counts by County,Delta County,Cases,3536
Colorado Case Counts by County,Denver County,Cases,86928
Colorado Case Counts by County,Dolores County,Cases,204
Colorado Case Counts by County,Douglas County,Cases,37897
Colorado Case Counts by County,Eagle County,Cases,7983
Colorado Case Counts by County,El Paso County,Cases,93711
Colorado Case Counts by County,Elbert County,Cases,2484
Colorado Case Counts by County,Fremont County,Cases,7661
Colorado Case Counts by County,Garfield County,Cases,7379
Colorado Case Counts by County,Gilpin County,Cases,405
Colorado Case Counts by County,Grand County,Cases,2053
Colorado Case Counts by County,Gunnison County,Cases,1762
Colorado Case Counts by County,Hinsdale County,Cases,54
Colorado Case Counts by County,Huerfano County,Cases,582
Colorado Case Counts by County,International,Cases,97
Colorado Case Counts by County,Jackson County,Cases,96
Colorado Case Counts by County,Jefferson County,Cases,59122
Colorado Case Counts by County,Kiowa County,Cases,125
Colorado Case Counts by County,Kit Carson County,Cases,879
Colorado Case Counts by County,La Plata County,Cases,5402
Colorado Case Counts by County,Lake County,Cases,966
Colorado Case Counts by County,Larimer County,Cases,35961
Colorado Case Counts by County,Las Animas County,Cases,1685
Colorado Case Counts by County,Lincoln County,Cases,1244
Colorado Case Counts by County,Logan County,Cases,4463
Colorado Case Counts by County,Mesa County,Cases,22093
Colorado Case Counts by County,Mineral County,Cases,121
Colorado Case Counts by County,Moffat County,Cases,1773
Colorado Case Counts by County,Montezuma County,Cases,2741
Colorado Case Counts by County,Montrose County,Cases,4831
Colorado Case Counts by County,Morgan County,Cases,3164
Colorado Case Counts by County,Otero County,Cases,2376
Colorado Case Counts by County,Ouray County,Cases,399
Colorado Case Counts by County,Park County,Cases,1242
Colorado Case Counts by County,Phillips County,Cases,478
Colorado Case Counts by County,Pitkin County,Cases,3035
Colorado Case Counts by County,Prowers County,Cases,1506
Colorado Case Counts by County,Pueblo County,Cases,23008
Colorado Case Counts by County,Rio Blanco County,Cases,873
Colorado Case Counts by County,Rio Grande County,Cases,1288
Colorado Case Counts by County,Routt County,Cases,3147
Colorado Case Counts by County,Saguache County,Cases,603
Colorado Case Counts by County,San Juan County,Cases,92
Colorado Case Counts by County,San Miguel County,Cases,1135
Colorado Case Counts by County,Sedgwick County,Cases,279
Colorado Case Counts by County,Summit County,Cases,4582
Colorado Case Counts by County,Teller County,Cases,2539
Colorado Case Counts by County,Washington County,Cases,556
Colorado Case Counts by County,Weld County,Cases,42781
Colorado Case Counts by County,Yuma County,Cases,1118
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,5.55
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,12.68
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,21.15
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,18.32
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,14.87
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,12.4
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,8.24
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,4.1
COVID-19 in Colorado by Age Group,80+,Percent of Cases,2.68
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.01
COVID-19 in Colorado by Age Group,0-9,Percent of Deaths,0.05
COVID-19 in Colorado by Age Group,10-19,Percent of Deaths,0.21
COVID-19 in Colorado by Age Group,20-29,Percent of Deaths,0.82
COVID-19 in Colorado by Age Group,30-39,Percent of Deaths,1.46
COVID-19 in Colorado by Age Group,40-49,Percent of Deaths,3.42
COVID-19 in Colorado by Age Group,50-59,Percent of Deaths,7.24
COVID-19 in Colorado by Age Group,60-69,Percent of Deaths,13.95
COVID-19 in Colorado by Age Group,70-79,Percent of Deaths,24.21
COVID-19 in Colorado by Age Group,80+,Percent of Deaths,48.64
COVID-19 in Colorado by Age Group,0-9,Percent of Colorado Population,11.61
COVID-19 in Colorado by Age Group,10-19,Percent of Colorado Population,13.01
COVID-19 in Colorado by Age Group,20-29,Percent of Colorado Population,14.66
COVID-19 in Colorado by Age Group,30-39,Percent of Colorado Population,14.6
COVID-19 in Colorado by Age Group,40-49,Percent of Colorado Population,12.98
COVID-19 in Colorado by Age Group,50-59,Percent of Colorado Population,12.48
COVID-19 in Colorado by Age Group,60-69,Percent of Colorado Population,11.04
COVID-19 in Colorado by Age Group,70-79,Percent of Colorado Population,6.44
COVID-19 in Colorado by Age Group,80+,Percent of Colorado Population,3.2
COVID-19 in Colorado by Age Group,Unknown,Percent of Colorado Population,0
COVID-19 in Colorado by Age Group,Note,Percent of cases and deaths by age group compared to percent of total Colorado (CO) population.,NA
COVID-19 in Colorado by Age Group,Note,"Population Data: Colorado Department of Local Affairs State Demography Office, 2018 Regional Estimates",NA
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Cases,0.56
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Cases,1.5
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Cases,3.06
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Cases,25.14
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Cases,1.8
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Cases,0.27
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Cases,46.9
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Cases,0.83
COVID-19 in Colorado by Race & Ethnicity,Unknown/Not Provided,Percent of Cases,19.95
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Deaths,0.6
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Deaths,1.76
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Deaths,3.42
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Deaths,20.21
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Deaths,3.46
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Deaths,0.13
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Deaths,65.27
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Deaths,0.8
COVID-19 in Colorado by Race & Ethnicity,Unknown/Not Provided,Percent of Deaths,4.36
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Colorado Population,0.56
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Colorado Population,3.12
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Colorado Population,3.92
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Colorado Population,21.69
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Colorado Population,2.65
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Colorado Population,0.12
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Colorado Population,67.76
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Colorado Population,0.19
COVID-19 in Colorado by Race & Ethnicity,Note,Percent of cases and deaths by race and ethnicity compared to percent of total Colorado (CO) population.,NA
COVID-19 in Colorado by Race & Ethnicity,Note,"Population Data: U.S. Census Bureau, 2018 American Community Survey 1-Year Estimates",NA
COVID-19 in Colorado by Sex,Female,Percent of Cases,49.96
COVID-19 in Colorado by Sex,Female to Male,Percent of Cases,0.01
COVID-19 in Colorado by Sex,Male,Percent of Cases,48.76
COVID-19 in Colorado by Sex,Male to Female,Percent of Cases,0.01
COVID-19 in Colorado by Sex,Unknown,Percent of Cases,1.26
COVID-19 in Colorado by Sex,Female,Percent of Deaths,45.06
COVID-19 in Colorado by Sex,Male,Percent of Deaths,54.83
COVID-19 in Colorado by Sex,Male to Female,Percent of Deaths,0.03
COVID-19 in Colorado by Sex,Unknown,Percent of Deaths,0.08
Case Status for Cases & Deaths,Confirmed,Number of Cases,629246
Case Status for Cases & Deaths,Confirmed,Percent of Cases,0.92
Case Status for Cases & Deaths,Confirmed,Number of Deaths,6814
Case Status for Cases & Deaths,Confirmed,Percent of Deaths,0.89
Case Status for Cases & Deaths,Probable,Number of Cases,53527
Case Status for Cases & Deaths,Probable,Percent of Cases,0.08
Case Status for Cases & Deaths,Probable,Number of Deaths,851
Case Status for Cases & Deaths,Probable,Percent of Deaths,0.11
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-03,Three-Day Moving Average Of Cases,0.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-04,Three-Day Moving Average Of Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-05,Three-Day Moving Average Of Cases,2.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-06,Three-Day Moving Average Of Cases,2.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-07,Three-Day Moving Average Of Cases,3.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-08,Three-Day Moving Average Of Cases,1.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-09,Three-Day Moving Average Of Cases,3
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-10,Three-Day Moving Average Of Cases,4.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-11,Three-Day Moving Average Of Cases,10.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-12,Three-Day Moving Average Of Cases,12.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-13,Three-Day Moving Average Of Cases,19.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-14,Three-Day Moving Average Of Cases,23.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-15,Three-Day Moving Average Of Cases,31.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-16,Three-Day Moving Average Of Cases,33.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-17,Three-Day Moving Average Of Cases,33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-18,Three-Day Moving Average Of Cases,44.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-19,Three-Day Moving Average Of Cases,60.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-20,Three-Day Moving Average Of Cases,91.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-21,Three-Day Moving Average Of Cases,108.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-22,Three-Day Moving Average Of Cases,122.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-23,Three-Day Moving Average Of Cases,147
