description,attribute,metric,value
State Data,Statewide,Cases,415037
State Data,Statewide,Hospitalizations,22837
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,2505587
State Data,Statewide,Test Encounters,5869369
State Data,Statewide,Deaths Among Cases,5828
State Data,Statewide,Deaths Due to COVID-19,5655
State Data,Statewide,Outbreaks,3748
State Data,Statewide,Rate Per 100000,7200.53
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,47184
Colorado Case Counts by County,Alamosa County,Cases,1237
Colorado Case Counts by County,Arapahoe County,Cases,47052
Colorado Case Counts by County,Archuleta County,Cases,628
Colorado Case Counts by County,Baca County,Cases,270
Colorado Case Counts by County,Bent County,Cases,1424
Colorado Case Counts by County,Boulder County,Cases,18158
Colorado Case Counts by County,Broomfield County,Cases,3599
Colorado Case Counts by County,Chaffee County,Cases,1389
Colorado Case Counts by County,Cheyenne County,Cases,124
Colorado Case Counts by County,Clear Creek County,Cases,355
Colorado Case Counts by County,Conejos County,Cases,428
Colorado Case Counts by County,Costilla County,Cases,174
Colorado Case Counts by County,Crowley County,Cases,1931
Colorado Case Counts by County,Custer County,Cases,163
Colorado Case Counts by County,Delta County,Cases,2426
Colorado Case Counts by County,Denver County,Cases,57911
Colorado Case Counts by County,Dolores County,Cases,65
Colorado Case Counts by County,Douglas County,Cases,20391
Colorado Case Counts by County,Eagle County,Cases,4778
Colorado Case Counts by County,El Paso County,Cases,50107
Colorado Case Counts by County,Elbert County,Cases,1233
Colorado Case Counts by County,Fremont County,Cases,5354
Colorado Case Counts by County,Garfield County,Cases,4978
Colorado Case Counts by County,Gilpin County,Cases,162
Colorado Case Counts by County,Grand County,Cases,1184
Colorado Case Counts by County,Gunnison County,Cases,1176
Colorado Case Counts by County,Hinsdale County,Cases,16
Colorado Case Counts by County,Huerfano County,Cases,299
Colorado Case Counts by County,International,Cases,48
Colorado Case Counts by County,Jackson County,Cases,48
Colorado Case Counts by County,Jefferson County,Cases,36104
Colorado Case Counts by County,Kiowa County,Cases,91
Colorado Case Counts by County,Kit Carson County,Cases,521
Colorado Case Counts by County,La Plata County,Cases,2851
Colorado Case Counts by County,Lake County,Cases,631
Colorado Case Counts by County,Larimer County,Cases,19120
Colorado Case Counts by County,Las Animas County,Cases,967
Colorado Case Counts by County,Lincoln County,Cases,972
Colorado Case Counts by County,Logan County,Cases,3692
Colorado Case Counts by County,Mesa County,Cases,12913
Colorado Case Counts by County,Mineral County,Cases,61
Colorado Case Counts by County,Moffat County,Cases,651
Colorado Case Counts by County,Montezuma County,Cases,1692
Colorado Case Counts by County,Montrose County,Cases,3165
Colorado Case Counts by County,Morgan County,Cases,2405
Colorado Case Counts by County,Otero County,Cases,1814
Colorado Case Counts by County,Ouray County,Cases,237
Colorado Case Counts by County,Park County,Cases,528
Colorado Case Counts by County,Phillips County,Cases,330
Colorado Case Counts by County,Pitkin County,Cases,1919
Colorado Case Counts by County,Prowers County,Cases,1155
Colorado Case Counts by County,Pueblo County,Cases,14802
Colorado Case Counts by County,Rio Blanco County,Cases,440
Colorado Case Counts by County,Rio Grande County,Cases,668
Colorado Case Counts by County,Routt County,Cases,1799
Colorado Case Counts by County,Saguache County,Cases,308
Colorado Case Counts by County,San Juan County,Cases,43
Colorado Case Counts by County,San Miguel County,Cases,793
Colorado Case Counts by County,Sedgwick County,Cases,189
Colorado Case Counts by County,Summit County,Cases,2907
Colorado Case Counts by County,Teller County,Cases,1225
Colorado Case Counts by County,Washington County,Cases,369
Colorado Case Counts by County,Weld County,Cases,24690
Colorado Case Counts by County,Yuma County,Cases,693
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,4.1
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,11.04
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,21.79
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,18.08
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,15.19
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,13.12
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,8.76
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,4.57
COVID-19 in Colorado by Age Group,80+,Percent of Cases,3.31
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.04
COVID-19 in Colorado by Age Group,0-9,Percent of Deaths,0.02
COVID-19 in Colorado by Age Group,10-19,Percent of Deaths,0.12
COVID-19 in Colorado by Age Group,20-29,Percent of Deaths,0.72
COVID-19 in Colorado by Age Group,30-39,Percent of Deaths,0.89
COVID-19 in Colorado by Age Group,40-49,Percent of Deaths,2.44
COVID-19 in Colorado by Age Group,50-59,Percent of Deaths,5.59
COVID-19 in Colorado by Age Group,60-69,Percent of Deaths,12.22
COVID-19 in Colorado by Age Group,70-79,Percent of Deaths,24.21
COVID-19 in Colorado by Age Group,80+,Percent of Deaths,53.77
COVID-19 in Colorado by Age Group,Unknown,Percent of Deaths,0.02
COVID-19 in Colorado by Age Group,0-9,Percent of Colorado Population,11.61
COVID-19 in Colorado by Age Group,10-19,Percent of Colorado Population,13.01
COVID-19 in Colorado by Age Group,20-29,Percent of Colorado Population,14.66
COVID-19 in Colorado by Age Group,30-39,Percent of Colorado Population,14.6
COVID-19 in Colorado by Age Group,40-49,Percent of Colorado Population,12.98
COVID-19 in Colorado by Age Group,50-59,Percent of Colorado Population,12.48
COVID-19 in Colorado by Age Group,60-69,Percent of Colorado Population,11.04
COVID-19 in Colorado by Age Group,70-79,Percent of Colorado Population,6.44
COVID-19 in Colorado by Age Group,80+,Percent of Colorado Population,3.2
