description,attribute,metric,value
State Data,Statewide,Cases,393421
State Data,Statewide,Hospitalizations,21744
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,2385829
State Data,Statewide,Test Encounters,5393734
State Data,Statewide,Deaths Among Cases,5594
State Data,Statewide,Deaths Due to COVID-19,4928
State Data,Statewide,Outbreaks,3496
State Data,Statewide,Rate Per 100000,6825.51
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,45508
Colorado Case Counts by County,Alamosa County,Cases,1148
Colorado Case Counts by County,Arapahoe County,Cases,44719
Colorado Case Counts by County,Archuleta County,Cases,602
Colorado Case Counts by County,Baca County,Cases,264
Colorado Case Counts by County,Bent County,Cases,1287
Colorado Case Counts by County,Boulder County,Cases,17108
Colorado Case Counts by County,Broomfield County,Cases,3391
Colorado Case Counts by County,Chaffee County,Cases,1299
Colorado Case Counts by County,Cheyenne County,Cases,117
Colorado Case Counts by County,Clear Creek County,Cases,343
Colorado Case Counts by County,Conejos County,Cases,403
Colorado Case Counts by County,Costilla County,Cases,179
Colorado Case Counts by County,Crowley County,Cases,1803
Colorado Case Counts by County,Custer County,Cases,160
Colorado Case Counts by County,Delta County,Cases,2310
Colorado Case Counts by County,Denver County,Cases,55377
Colorado Case Counts by County,Dolores County,Cases,62
Colorado Case Counts by County,Douglas County,Cases,18782
Colorado Case Counts by County,Eagle County,Cases,4342
