description,attribute,metric,value
State Data,Statewide,Cases,496882
State Data,Statewide,Hospitalizations,27199
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,2862393
State Data,Statewide,Test Encounters,7593583
State Data,Statewide,Deaths Among Cases,6225
State Data,Statewide,Deaths Due to COVID-19,6368
State Data,Statewide,Outbreaks,4736
State Data,Statewide,Rate Per 100000,8620.47
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,54706
Colorado Case Counts by County,Alamosa County,Cases,1423
Colorado Case Counts by County,Arapahoe County,Cases,55891
Colorado Case Counts by County,Archuleta County,Cases,865
Colorado Case Counts by County,Baca County,Cases,280
Colorado Case Counts by County,Bent County,Cases,1488
Colorado Case Counts by County,Boulder County,Cases,22309
Colorado Case Counts by County,Broomfield County,Cases,4528
Colorado Case Counts by County,Chaffee County,Cases,1590
Colorado Case Counts by County,Cheyenne County,Cases,128
Colorado Case Counts by County,Clear Creek County,Cases,431
Colorado Case Counts by County,Conejos County,Cases,493
Colorado Case Counts by County,Costilla County,Cases,206
Colorado Case Counts by County,Crowley County,Cases,2159
Colorado Case Counts by County,Custer County,Cases,185
Colorado Case Counts by County,Delta County,Cases,2648
Colorado Case Counts by County,Denver County,Cases,68849
Colorado Case Counts by County,Dolores County,Cases,77
Colorado Case Counts by County,Douglas County,Cases,26671
Colorado Case Counts by County,Eagle County,Cases,6123
Colorado Case Counts by County,El Paso County,Cases,61751
Colorado Case Counts by County,Elbert County,Cases,1587
Colorado Case Counts by County,Fremont County,Cases,5868
Colorado Case Counts by County,Garfield County,Cases,5692
Colorado Case Counts by County,Gilpin County,Cases,215
Colorado Case Counts by County,Grand County,Cases,1420
Colorado Case Counts by County,Gunnison County,Cases,1307
Colorado Case Counts by County,Hinsdale County,Cases,17
Colorado Case Counts by County,Huerfano County,Cases,362
Colorado Case Counts by County,International,Cases,64
Colorado Case Counts by County,Jackson County,Cases,56
Colorado Case Counts by County,Jefferson County,Cases,43651
Colorado Case Counts by County,Kiowa County,Cases,93
Colorado Case Counts by County,Kit Carson County,Cases,601
Colorado Case Counts by County,La Plata County,Cases,3709
Colorado Case Counts by County,Lake County,Cases,739
Colorado Case Counts by County,Larimer County,Cases,24685
Colorado Case Counts by County,Las Animas County,Cases,1092
Colorado Case Counts by County,Lincoln County,Cases,1014
Colorado Case Counts by County,Logan County,Cases,3897
Colorado Case Counts by County,Mesa County,Cases,14083
Colorado Case Counts by County,Mineral County,Cases,86
Colorado Case Counts by County,Moffat County,Cases,733
Colorado Case Counts by County,Montezuma County,Cases,1859
Colorado Case Counts by County,Montrose County,Cases,3383
Colorado Case Counts by County,Morgan County,Cases,2585
Colorado Case Counts by County,Otero County,Cases,1934
Colorado Case Counts by County,Ouray County,Cases,277
Colorado Case Counts by County,Park County,Cases,692
Colorado Case Counts by County,Phillips County,Cases,361
Colorado Case Counts by County,Pitkin County,Cases,2561
Colorado Case Counts by County,Prowers County,Cases,1190
Colorado Case Counts by County,Pueblo County,Cases,17135
Colorado Case Counts by County,Rio Blanco County,Cases,546
Colorado Case Counts by County,Rio Grande County,Cases,780
Colorado Case Counts by County,Routt County,Cases,2161
Colorado Case Counts by County,Saguache County,Cases,359
Colorado Case Counts by County,San Juan County,Cases,50
Colorado Case Counts by County,San Miguel County,Cases,866
Colorado Case Counts by County,Sedgwick County,Cases,208
Colorado Case Counts by County,Summit County,Cases,3652
Colorado Case Counts by County,Teller County,Cases,1587
Colorado Case Counts by County,Washington County,Cases,442
Colorado Case Counts by County,Weld County,Cases,29626
Colorado Case Counts by County,Yuma County,Cases,856
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,4.35
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,11.84
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,22.04
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,18.18
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,15.11
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,12.95
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,8.4
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,4.16
COVID-19 in Colorado by Age Group,80+,Percent of Cases,2.95
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.02
