description,attribute,metric,value
State Data,Statewide,Cases,409683
State Data,Statewide,Hospitalizations,22655
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,2478316
State Data,Statewide,Test Encounters,5756150
State Data,Statewide,Deaths Among Cases,5781
State Data,Statewide,Deaths Due to COVID-19,5568
State Data,Statewide,Outbreaks,3716
State Data,Statewide,Rate Per 100000,7107.65
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,46787
Colorado Case Counts by County,Alamosa County,Cases,1218
Colorado Case Counts by County,Arapahoe County,Cases,46525
Colorado Case Counts by County,Archuleta County,Cases,621
Colorado Case Counts by County,Baca County,Cases,269
Colorado Case Counts by County,Bent County,Cases,1390
Colorado Case Counts by County,Boulder County,Cases,17900
Colorado Case Counts by County,Broomfield County,Cases,3566
Colorado Case Counts by County,Chaffee County,Cases,1366
Colorado Case Counts by County,Cheyenne County,Cases,124
Colorado Case Counts by County,Clear Creek County,Cases,352
Colorado Case Counts by County,Conejos County,Cases,418
Colorado Case Counts by County,Costilla County,Cases,176
Colorado Case Counts by County,Crowley County,Cases,1885
Colorado Case Counts by County,Custer County,Cases,163
Colorado Case Counts by County,Delta County,Cases,2404
Colorado Case Counts by County,Denver County,Cases,57283
Colorado Case Counts by County,Dolores County,Cases,63
Colorado Case Counts by County,Douglas County,Cases,19994
Colorado Case Counts by County,Eagle County,Cases,4673
Colorado Case Counts by County,El Paso County,Cases,49427
Colorado Case Counts by County,Elbert County,Cases,1219
Colorado Case Counts by County,Fremont County,Cases,5248
Colorado Case Counts by County,Garfield County,Cases,4948
Colorado Case Counts by County,Gilpin County,Cases,160
Colorado Case Counts by County,Grand County,Cases,1127
Colorado Case Counts by County,Gunnison County,Cases,1100
Colorado Case Counts by County,Hinsdale County,Cases,16
Colorado Case Counts by County,Huerfano County,Cases,297
Colorado Case Counts by County,International,Cases,46
Colorado Case Counts by County,Jackson County,Cases,48
Colorado Case Counts by County,Jefferson County,Cases,35660
Colorado Case Counts by County,Kiowa County,Cases,89
Colorado Case Counts by County,Kit Carson County,Cases,518
Colorado Case Counts by County,La Plata County,Cases,2816
Colorado Case Counts by County,Lake County,Cases,613
Colorado Case Counts by County,Larimer County,Cases,18781
Colorado Case Counts by County,Las Animas County,Cases,955
Colorado Case Counts by County,Lincoln County,Cases,969
Colorado Case Counts by County,Logan County,Cases,3680
Colorado Case Counts by County,Mesa County,Cases,12804
Colorado Case Counts by County,Mineral County,Cases,61
Colorado Case Counts by County,Moffat County,Cases,644
Colorado Case Counts by County,Montezuma County,Cases,1684
Colorado Case Counts by County,Montrose County,Cases,3123
Colorado Case Counts by County,Morgan County,Cases,2397
Colorado Case Counts by County,Otero County,Cases,1797
Colorado Case Counts by County,Ouray County,Cases,229
Colorado Case Counts by County,Park County,Cases,521
Colorado Case Counts by County,Phillips County,Cases,329
