description,attribute,metric,value
State Data,Statewide,Cases,524190
State Data,Statewide,Hospitalizations,28650
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,2960718
State Data,Statewide,Test Encounters,8068748
State Data,Statewide,Deaths Among Cases,6357
State Data,Statewide,Deaths Due to COVID-19,6520
State Data,Statewide,Outbreaks,5130
State Data,Statewide,Rate Per 100000,9094.24
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,57676
Colorado Case Counts by County,Alamosa County,Cases,1521
Colorado Case Counts by County,Arapahoe County,Cases,59127
Colorado Case Counts by County,Archuleta County,Cases,945
Colorado Case Counts by County,Baca County,Cases,299
Colorado Case Counts by County,Bent County,Cases,1530
Colorado Case Counts by County,Boulder County,Cases,23255
Colorado Case Counts by County,Broomfield County,Cases,4771
Colorado Case Counts by County,Chaffee County,Cases,1659
Colorado Case Counts by County,Cheyenne County,Cases,128
Colorado Case Counts by County,Clear Creek County,Cases,444
Colorado Case Counts by County,Conejos County,Cases,564
Colorado Case Counts by County,Costilla County,Cases,214
Colorado Case Counts by County,Crowley County,Cases,2189
Colorado Case Counts by County,Custer County,Cases,198
Colorado Case Counts by County,Delta County,Cases,2697
Colorado Case Counts by County,Denver County,Cases,71672
Colorado Case Counts by County,Dolores County,Cases,82
Colorado Case Counts by County,Douglas County,Cases,28581
Colorado Case Counts by County,Eagle County,Cases,6268
Colorado Case Counts by County,El Paso County,Cases,66374
Colorado Case Counts by County,Elbert County,Cases,1729
Colorado Case Counts by County,Fremont County,Cases,6233
Colorado Case Counts by County,Garfield County,Cases,5820
Colorado Case Counts by County,Gilpin County,Cases,237
Colorado Case Counts by County,Grand County,Cases,1469
Colorado Case Counts by County,Gunnison County,Cases,1333
Colorado Case Counts by County,Hinsdale County,Cases,19
Colorado Case Counts by County,Huerfano County,Cases,410
Colorado Case Counts by County,International,Cases,66
Colorado Case Counts by County,Jackson County,Cases,58
Colorado Case Counts by County,Jefferson County,Cases,46336
Colorado Case Counts by County,Kiowa County,Cases,95
Colorado Case Counts by County,Kit Carson County,Cases,615
Colorado Case Counts by County,La Plata County,Cases,3923
Colorado Case Counts by County,Lake County,Cases,786
Colorado Case Counts by County,Larimer County,Cases,26123
Colorado Case Counts by County,Las Animas County,Cases,1127
Colorado Case Counts by County,Lincoln County,Cases,1026
Colorado Case Counts by County,Logan County,Cases,3956
Colorado Case Counts by County,Mesa County,Cases,14768
Colorado Case Counts by County,Mineral County,Cases,89
Colorado Case Counts by County,Moffat County,Cases,779
Colorado Case Counts by County,Montezuma County,Cases,1913
Colorado Case Counts by County,Montrose County,Cases,3464
Colorado Case Counts by County,Morgan County,Cases,2643
Colorado Case Counts by County,Otero County,Cases,2003
Colorado Case Counts by County,Ouray County,Cases,284
Colorado Case Counts by County,Park County,Cases,754
Colorado Case Counts by County,Phillips County,Cases,379
Colorado Case Counts by County,Pitkin County,Cases,2585
Colorado Case Counts by County,Prowers County,Cases,1230
Colorado Case Counts by County,Pueblo County,Cases,18534
Colorado Case Counts by County,Rio Blanco County,Cases,571
Colorado Case Counts by County,Rio Grande County,Cases,801
Colorado Case Counts by County,Routt County,Cases,2202
Colorado Case Counts by County,Saguache County,Cases,385
Colorado Case Counts by County,San Juan County,Cases,45
Colorado Case Counts by County,San Miguel County,Cases,876
Colorado Case Counts by County,Sedgwick County,Cases,226
Colorado Case Counts by County,Summit County,Cases,3702
Colorado Case Counts by County,Teller County,Cases,1715
Colorado Case Counts by County,Washington County,Cases,452
Colorado Case Counts by County,Weld County,Cases,31336
Colorado Case Counts by County,Yuma County,Cases,899
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,4.51
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,12.21
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,21.97
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,18.17
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,15.09
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,12.84
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,8.27
