description,attribute,metric,value
State Data,Statewide,Cases,416174
State Data,Statewide,Hospitalizations,22922
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,2510639
State Data,Statewide,Test Encounters,5896201
State Data,Statewide,Deaths Among Cases,5838
State Data,Statewide,Deaths Due to COVID-19,5656
State Data,Statewide,Outbreaks,3774
State Data,Statewide,Rate Per 100000,7220.26
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,47268
Colorado Case Counts by County,Alamosa County,Cases,1240
Colorado Case Counts by County,Arapahoe County,Cases,47160
Colorado Case Counts by County,Archuleta County,Cases,629
Colorado Case Counts by County,Baca County,Cases,270
Colorado Case Counts by County,Bent County,Cases,1424
Colorado Case Counts by County,Boulder County,Cases,18233
Colorado Case Counts by County,Broomfield County,Cases,3612
Colorado Case Counts by County,Chaffee County,Cases,1391
Colorado Case Counts by County,Cheyenne County,Cases,124
Colorado Case Counts by County,Clear Creek County,Cases,355
Colorado Case Counts by County,Conejos County,Cases,427
Colorado Case Counts by County,Costilla County,Cases,175
Colorado Case Counts by County,Crowley County,Cases,1934
Colorado Case Counts by County,Custer County,Cases,163
Colorado Case Counts by County,Delta County,Cases,2429
Colorado Case Counts by County,Denver County,Cases,58034
Colorado Case Counts by County,Dolores County,Cases,65
Colorado Case Counts by County,Douglas County,Cases,20479
Colorado Case Counts by County,Eagle County,Cases,4800
Colorado Case Counts by County,El Paso County,Cases,50294
Colorado Case Counts by County,Elbert County,Cases,1240
Colorado Case Counts by County,Fremont County,Cases,5364
Colorado Case Counts by County,Garfield County,Cases,4986
Colorado Case Counts by County,Gilpin County,Cases,162
Colorado Case Counts by County,Grand County,Cases,1211
Colorado Case Counts by County,Gunnison County,Cases,1179
Colorado Case Counts by County,Hinsdale County,Cases,16
