description,attribute,metric,value
State Data,Statewide,Cases,608047
State Data,Statewide,Hospitalizations,35400
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,3426397
State Data,Statewide,Test Encounters,10030658
State Data,Statewide,Deaths Among Cases,7095
State Data,Statewide,Deaths Due to COVID-19,7381
State Data,Statewide,Outbreaks,5737
State Data,Statewide,Rate Per 100000,10549.09
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,65647
Colorado Case Counts by County,Alamosa County,Cases,1877
Colorado Case Counts by County,Arapahoe County,Cases,67962
Colorado Case Counts by County,Archuleta County,Cases,1242
Colorado Case Counts by County,Baca County,Cases,354
Colorado Case Counts by County,Bent County,Cases,1558
Colorado Case Counts by County,Boulder County,Cases,26090
Colorado Case Counts by County,Broomfield County,Cases,5550
Colorado Case Counts by County,Chaffee County,Cases,1931
Colorado Case Counts by County,Cheyenne County,Cases,146
Colorado Case Counts by County,Clear Creek County,Cases,555
Colorado Case Counts by County,Conejos County,Cases,785
Colorado Case Counts by County,Costilla County,Cases,266
Colorado Case Counts by County,Crowley County,Cases,2224
Colorado Case Counts by County,Custer County,Cases,254
Colorado Case Counts by County,Delta County,Cases,3227
Colorado Case Counts by County,Denver County,Cases,79979
Colorado Case Counts by County,Dolores County,Cases,147
Colorado Case Counts by County,Douglas County,Cases,33526
Colorado Case Counts by County,Eagle County,Cases,7094
Colorado Case Counts by County,El Paso County,Cases,81239
Colorado Case Counts by County,Elbert County,Cases,2059
Colorado Case Counts by County,Fremont County,Cases,6821
Colorado Case Counts by County,Garfield County,Cases,6682
Colorado Case Counts by County,Gilpin County,Cases,326
Colorado Case Counts by County,Grand County,Cases,1637
Colorado Case Counts by County,Gunnison County,Cases,1534
Colorado Case Counts by County,Hinsdale County,Cases,45
Colorado Case Counts by County,Huerfano County,Cases,488
Colorado Case Counts by County,International,Cases,88
Colorado Case Counts by County,Jackson County,Cases,69
Colorado Case Counts by County,Jefferson County,Cases,52962
Colorado Case Counts by County,Kiowa County,Cases,108
Colorado Case Counts by County,Kit Carson County,Cases,726
Colorado Case Counts by County,La Plata County,Cases,4663
Colorado Case Counts by County,Lake County,Cases,905
Colorado Case Counts by County,Larimer County,Cases,31094
Colorado Case Counts by County,Las Animas County,Cases,1433
Colorado Case Counts by County,Lincoln County,Cases,1086
Colorado Case Counts by County,Logan County,Cases,4157
Colorado Case Counts by County,Mesa County,Cases,19072
Colorado Case Counts by County,Mineral County,Cases,100
