description,attribute,metric,value
State Data,Statewide,Cases,688465
State Data,Statewide,Hospitalizations,39450
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,3763360
State Data,Statewide,Test Encounters,11385722
State Data,Statewide,Deaths Among Cases,7733
State Data,Statewide,Deaths Due to COVID-19,7996
State Data,Statewide,Outbreaks,6228
State Data,Statewide,Rate Per 100000,11944.27
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,71976
Colorado Case Counts by County,Alamosa County,Cases,2250
Colorado Case Counts by County,Arapahoe County,Cases,75481
Colorado Case Counts by County,Archuleta County,Cases,1389
Colorado Case Counts by County,Baca County,Cases,405
Colorado Case Counts by County,Bent County,Cases,1635
Colorado Case Counts by County,Boulder County,Cases,29246
Colorado Case Counts by County,Broomfield County,Cases,6335
Colorado Case Counts by County,Chaffee County,Cases,2135
Colorado Case Counts by County,Cheyenne County,Cases,162
Colorado Case Counts by County,Clear Creek County,Cases,728
Colorado Case Counts by County,Conejos County,Cases,929
Colorado Case Counts by County,Costilla County,Cases,351
Colorado Case Counts by County,Crowley County,Cases,2329
Colorado Case Counts by County,Custer County,Cases,325
Colorado Case Counts by County,Delta County,Cases,3595
Colorado Case Counts by County,Denver County,Cases,87441
Colorado Case Counts by County,Dolores County,Cases,216
Colorado Case Counts by County,Douglas County,Cases,38196
Colorado Case Counts by County,Eagle County,Cases,8025
Colorado Case Counts by County,El Paso County,Cases,94658
Colorado Case Counts by County,Elbert County,Cases,2516
Colorado Case Counts by County,Fremont County,Cases,7794
Colorado Case Counts by County,Garfield County,Cases,7461
Colorado Case Counts by County,Gilpin County,Cases,407
Colorado Case Counts by County,Grand County,Cases,2065
Colorado Case Counts by County,Gunnison County,Cases,1778
Colorado Case Counts by County,Hinsdale County,Cases,54
Colorado Case Counts by County,Huerfano County,Cases,588
Colorado Case Counts by County,International,Cases,96
Colorado Case Counts by County,Jackson County,Cases,101
Colorado Case Counts by County,Jefferson County,Cases,59490
Colorado Case Counts by County,Kiowa County,Cases,127
Colorado Case Counts by County,Kit Carson County,Cases,895
Colorado Case Counts by County,La Plata County,Cases,5450
Colorado Case Counts by County,Lake County,Cases,972
Colorado Case Counts by County,Larimer County,Cases,36319
Colorado Case Counts by County,Las Animas County,Cases,1693
Colorado Case Counts by County,Lincoln County,Cases,1256
Colorado Case Counts by County,Logan County,Cases,4480
Colorado Case Counts by County,Mesa County,Cases,22338
Colorado Case Counts by County,Mineral County,Cases,123
Colorado Case Counts by County,Moffat County,Cases,1815
Colorado Case Counts by County,Montezuma County,Cases,2794
Colorado Case Counts by County,Montrose County,Cases,4894
Colorado Case Counts by County,Morgan County,Cases,3180
Colorado Case Counts by County,Otero County,Cases,2407
Colorado Case Counts by County,Ouray County,Cases,403
Colorado Case Counts by County,Park County,Cases,1260
Colorado Case Counts by County,Phillips County,Cases,485
Colorado Case Counts by County,Pitkin County,Cases,3045
Colorado Case Counts by County,Prowers County,Cases,1520
Colorado Case Counts by County,Pueblo County,Cases,23247
Colorado Case Counts by County,Rio Blanco County,Cases,881
Colorado Case Counts by County,Rio Grande County,Cases,1341
Colorado Case Counts by County,Routt County,Cases,3172
Colorado Case Counts by County,Saguache County,Cases,617
Colorado Case Counts by County,San Juan County,Cases,93
Colorado Case Counts by County,San Miguel County,Cases,1142
Colorado Case Counts by County,Sedgwick County,Cases,282
Colorado Case Counts by County,Summit County,Cases,4610
Colorado Case Counts by County,Teller County,Cases,2586
Colorado Case Counts by County,Washington County,Cases,564
Colorado Case Counts by County,Weld County,Cases,43186
Colorado Case Counts by County,Yuma County,Cases,1131
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,5.58
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,12.7
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,21.09
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,18.31
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,14.87
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,12.4
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,8.25
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,4.1
COVID-19 in Colorado by Age Group,80+,Percent of Cases,2.68
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.01
COVID-19 in Colorado by Age Group,0-9,Percent of Deaths,0.05
COVID-19 in Colorado by Age Group,10-19,Percent of Deaths,0.21
COVID-19 in Colorado by Age Group,20-29,Percent of Deaths,0.83
COVID-19 in Colorado by Age Group,30-39,Percent of Deaths,1.49
COVID-19 in Colorado by Age Group,40-49,Percent of Deaths,3.41
COVID-19 in Colorado by Age Group,50-59,Percent of Deaths,7.24
COVID-19 in Colorado by Age Group,60-69,Percent of Deaths,14
COVID-19 in Colorado by Age Group,70-79,Percent of Deaths,24.14
COVID-19 in Colorado by Age Group,80+,Percent of Deaths,48.62
COVID-19 in Colorado by Age Group,0-9,Percent of Colorado Population,11.61
COVID-19 in Colorado by Age Group,10-19,Percent of Colorado Population,13.01
COVID-19 in Colorado by Age Group,20-29,Percent of Colorado Population,14.66
COVID-19 in Colorado by Age Group,30-39,Percent of Colorado Population,14.6
COVID-19 in Colorado by Age Group,40-49,Percent of Colorado Population,12.98
COVID-19 in Colorado by Age Group,50-59,Percent of Colorado Population,12.48
COVID-19 in Colorado by Age Group,60-69,Percent of Colorado Population,11.04
COVID-19 in Colorado by Age Group,70-79,Percent of Colorado Population,6.44
COVID-19 in Colorado by Age Group,80+,Percent of Colorado Population,3.2
COVID-19 in Colorado by Age Group,Unknown,Percent of Colorado Population,0
COVID-19 in Colorado by Age Group,Note,Percent of cases and deaths by age group compared to percent of total Colorado (CO) population.,NA
COVID-19 in Colorado by Age Group,Note,"Population Data: Colorado Department of Local Affairs State Demography Office, 2018 Regional Estimates",NA
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Cases,0.56
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Cases,1.5
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Cases,3.06
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Cases,25.09
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Cases,1.8
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Cases,0.27
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Cases,46.96
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Cases,0.82
COVID-19 in Colorado by Race & Ethnicity,Unknown/Not Provided,Percent of Cases,19.94
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Deaths,0.59
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Deaths,1.77
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Deaths,3.41
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Deaths,20.1
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Deaths,3.45
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Deaths,0.13
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Deaths,65.41
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Deaths,0.79
COVID-19 in Colorado by Race & Ethnicity,Unknown/Not Provided,Percent of Deaths,4.35
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Colorado Population,0.56
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Colorado Population,3.12
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Colorado Population,3.92
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Colorado Population,21.69
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Colorado Population,2.65
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Colorado Population,0.12
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Colorado Population,67.76
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Colorado Population,0.19
COVID-19 in Colorado by Race & Ethnicity,Note,Percent of cases and deaths by race and ethnicity compared to percent of total Colorado (CO) population.,NA
COVID-19 in Colorado by Race & Ethnicity,Note,"Population Data: U.S. Census Bureau, 2018 American Community Survey 1-Year Estimates",NA
COVID-19 in Colorado by Sex,Female,Percent of Cases,49.96
COVID-19 in Colorado by Sex,Female to Male,Percent of Cases,0.01
COVID-19 in Colorado by Sex,Male,Percent of Cases,48.75
COVID-19 in Colorado by Sex,Male to Female,Percent of Cases,0.01
COVID-19 in Colorado by Sex,Unknown,Percent of Cases,1.27
COVID-19 in Colorado by Sex,Female,Percent of Deaths,44.9
COVID-19 in Colorado by Sex,Male,Percent of Deaths,55
COVID-19 in Colorado by Sex,Male to Female,Percent of Deaths,0.03
COVID-19 in Colorado by Sex,Unknown,Percent of Deaths,0.08
Case Status for Cases & Deaths,Confirmed,Number of Cases,634332
Case Status for Cases & Deaths,Confirmed,Percent of Cases,0.92
Case Status for Cases & Deaths,Confirmed,Number of Deaths,6878
Case Status for Cases & Deaths,Confirmed,Percent of Deaths,0.89
Case Status for Cases & Deaths,Probable,Number of Cases,54133
Case Status for Cases & Deaths,Probable,Percent of Cases,0.08
Case Status for Cases & Deaths,Probable,Number of Deaths,855
Case Status for Cases & Deaths,Probable,Percent of Deaths,0.11
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-03,Three-Day Moving Average Of Cases,0.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-04,Three-Day Moving Average Of Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-05,Three-Day Moving Average Of Cases,2.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-06,Three-Day Moving Average Of Cases,2.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-07,Three-Day Moving Average Of Cases,3.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-08,Three-Day Moving Average Of Cases,1.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-09,Three-Day Moving Average Of Cases,3
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-10,Three-Day Moving Average Of Cases,4.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-11,Three-Day Moving Average Of Cases,10.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-12,Three-Day Moving Average Of Cases,12.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-13,Three-Day Moving Average Of Cases,19.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-14,Three-Day Moving Average Of Cases,23.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-15,Three-Day Moving Average Of Cases,31.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-16,Three-Day Moving Average Of Cases,33.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-17,Three-Day Moving Average Of Cases,33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-18,Three-Day Moving Average Of Cases,44.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-19,Three-Day Moving Average Of Cases,60.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-20,Three-Day Moving Average Of Cases,91.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-21,Three-Day Moving Average Of Cases,108.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-22,Three-Day Moving Average Of Cases,122.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-23,Three-Day Moving Average Of Cases,147
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-24,Three-Day Moving Average Of Cases,166.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-25,Three-Day Moving Average Of Cases,229
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-26,Three-Day Moving Average Of Cases,262
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-27,Three-Day Moving Average Of Cases,312.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-28,Three-Day Moving Average Of Cases,289.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-29,Three-Day Moving Average Of Cases,302.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-30,Three-Day Moving Average Of Cases,303.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-31,Three-Day Moving Average Of Cases,350.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-01,Three-Day Moving Average Of Cases,373.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-02,Three-Day Moving Average Of Cases,413
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-03,Three-Day Moving Average Of Cases,414.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-04,Three-Day Moving Average Of Cases,409.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-05,Three-Day Moving Average Of Cases,334
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-06,Three-Day Moving Average Of Cases,294
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-07,Three-Day Moving Average Of Cases,252.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-08,Three-Day Moving Average Of Cases,362
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-09,Three-Day Moving Average Of Cases,395
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-10,Three-Day Moving Average Of Cases,453
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-11,Three-Day Moving Average Of Cases,414.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-12,Three-Day Moving Average Of Cases,419.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-13,Three-Day Moving Average Of Cases,371
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-14,Three-Day Moving Average Of Cases,330.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-15,Three-Day Moving Average Of Cases,343.33
