description,attribute,metric,value
State Data,Statewide,Cases,555569
State Data,Statewide,Hospitalizations,31431
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,3152372
State Data,Statewide,Test Encounters,8965927
State Data,Statewide,Deaths Among Cases,6765
State Data,Statewide,Deaths Due to COVID-19,6961
State Data,Statewide,Outbreaks,5491
State Data,Statewide,Rate Per 100000,9638.64
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,60733
Colorado Case Counts by County,Alamosa County,Cases,1717
Colorado Case Counts by County,Arapahoe County,Cases,62584
Colorado Case Counts by County,Archuleta County,Cases,1022
Colorado Case Counts by County,Baca County,Cases,322
Colorado Case Counts by County,Bent County,Cases,1546
Colorado Case Counts by County,Boulder County,Cases,23931
Colorado Case Counts by County,Broomfield County,Cases,4982
Colorado Case Counts by County,Chaffee County,Cases,1762
Colorado Case Counts by County,Cheyenne County,Cases,130
Colorado Case Counts by County,Clear Creek County,Cases,476
Colorado Case Counts by County,Conejos County,Cases,734
Colorado Case Counts by County,Costilla County,Cases,250
Colorado Case Counts by County,Crowley County,Cases,2212
Colorado Case Counts by County,Custer County,Cases,224
Colorado Case Counts by County,Delta County,Cases,2915
Colorado Case Counts by County,Denver County,Cases,74188
Colorado Case Counts by County,Dolores County,Cases,127
Colorado Case Counts by County,Douglas County,Cases,30408
Colorado Case Counts by County,Eagle County,Cases,6345
Colorado Case Counts by County,El Paso County,Cases,72986
Colorado Case Counts by County,Elbert County,Cases,1883
Colorado Case Counts by County,Fremont County,Cases,6530
Colorado Case Counts by County,Garfield County,Cases,6130
Colorado Case Counts by County,Gilpin County,Cases,281
Colorado Case Counts by County,Grand County,Cases,1504
Colorado Case Counts by County,Gunnison County,Cases,1382
Colorado Case Counts by County,Hinsdale County,Cases,19
Colorado Case Counts by County,Huerfano County,Cases,433
Colorado Case Counts by County,International,Cases,76
Colorado Case Counts by County,Jackson County,Cases,67
Colorado Case Counts by County,Jefferson County,Cases,48744
Colorado Case Counts by County,Kiowa County,Cases,95
Colorado Case Counts by County,Kit Carson County,Cases,644
Colorado Case Counts by County,La Plata County,Cases,4119
Colorado Case Counts by County,Lake County,Cases,834
Colorado Case Counts by County,Larimer County,Cases,27599
Colorado Case Counts by County,Las Animas County,Cases,1167
Colorado Case Counts by County,Lincoln County,Cases,1033
Colorado Case Counts by County,Logan County,Cases,4050
Colorado Case Counts by County,Mesa County,Cases,16907
Colorado Case Counts by County,Mineral County,Cases,93
Colorado Case Counts by County,Moffat County,Cases,985
Colorado Case Counts by County,Montezuma County,Cases,2082
Colorado Case Counts by County,Montrose County,Cases,3710
Colorado Case Counts by County,Morgan County,Cases,2735
Colorado Case Counts by County,Otero County,Cases,2083
Colorado Case Counts by County,Ouray County,Cases,291
Colorado Case Counts by County,Park County,Cases,828
Colorado Case Counts by County,Phillips County,Cases,398
Colorado Case Counts by County,Pitkin County,Cases,2608
Colorado Case Counts by County,Prowers County,Cases,1277
Colorado Case Counts by County,Pueblo County,Cases,19537
Colorado Case Counts by County,Rio Blanco County,Cases,610
Colorado Case Counts by County,Rio Grande County,Cases,895
Colorado Case Counts by County,Routt County,Cases,2277
Colorado Case Counts by County,Saguache County,Cases,436
Colorado Case Counts by County,San Juan County,Cases,47
Colorado Case Counts by County,San Miguel County,Cases,920
Colorado Case Counts by County,Sedgwick County,Cases,236
Colorado Case Counts by County,Summit County,Cases,3755
Colorado Case Counts by County,Teller County,Cases,1914
Colorado Case Counts by County,Washington County,Cases,474
Colorado Case Counts by County,Weld County,Cases,33318
Colorado Case Counts by County,Yuma County,Cases,969
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,4.65
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,12.39
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,21.9
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,18.18
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,15.05
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,12.76
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,8.23
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,4.03
COVID-19 in Colorado by Age Group,80+,Percent of Cases,2.8
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.02
COVID-19 in Colorado by Age Group,0-9,Percent of Deaths,0.03
COVID-19 in Colorado by Age Group,10-19,Percent of Deaths,0.21
COVID-19 in Colorado by Age Group,20-29,Percent of Deaths,0.87
COVID-19 in Colorado by Age Group,30-39,Percent of Deaths,1.26
COVID-19 in Colorado by Age Group,40-49,Percent of Deaths,3.02
COVID-19 in Colorado by Age Group,50-59,Percent of Deaths,6.58
COVID-19 in Colorado by Age Group,60-69,Percent of Deaths,13.05
COVID-19 in Colorado by Age Group,70-79,Percent of Deaths,24.27
COVID-19 in Colorado by Age Group,80+,Percent of Deaths,50.72
COVID-19 in Colorado by Age Group,0-9,Percent of Colorado Population,11.61
COVID-19 in Colorado by Age Group,10-19,Percent of Colorado Population,13.01
COVID-19 in Colorado by Age Group,20-29,Percent of Colorado Population,14.66
COVID-19 in Colorado by Age Group,30-39,Percent of Colorado Population,14.6
COVID-19 in Colorado by Age Group,40-49,Percent of Colorado Population,12.98
COVID-19 in Colorado by Age Group,50-59,Percent of Colorado Population,12.48
COVID-19 in Colorado by Age Group,60-69,Percent of Colorado Population,11.04
COVID-19 in Colorado by Age Group,70-79,Percent of Colorado Population,6.44
COVID-19 in Colorado by Age Group,80+,Percent of Colorado Population,3.2
COVID-19 in Colorado by Age Group,Unknown,Percent of Colorado Population,0
COVID-19 in Colorado by Age Group,Note,Percent of cases and deaths by age group compared to percent of total Colorado (CO) population.,NA
COVID-19 in Colorado by Age Group,Note,"Population Data: Colorado Department of Local Affairs State Demography Office, 2018 Regional Estimates",NA
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Cases,0.57
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Cases,1.47
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Cases,2.99
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Cases,26.24
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Cases,1.66
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Cases,0.29
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Cases,44.21
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Cases,0.8
COVID-19 in Colorado by Race & Ethnicity,Unknown/Not Provided,Percent of Cases,21.76
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Deaths,0.61
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Deaths,1.86
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Deaths,3.44
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Deaths,20.43
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Deaths,3.39
