description,attribute,metric,value
State Data,Statewide,Cases,428303
State Data,Statewide,Hospitalizations,23476
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,2577355
State Data,Statewide,Test Encounters,6216201
State Data,Statewide,Deaths Among Cases,5951
State Data,Statewide,Deaths Due to COVID-19,5874
State Data,Statewide,Outbreaks,3887
State Data,Statewide,Rate Per 100000,7430.69
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,48413
Colorado Case Counts by County,Alamosa County,Cases,1278
Colorado Case Counts by County,Arapahoe County,Cases,48463
Colorado Case Counts by County,Archuleta County,Cases,649
Colorado Case Counts by County,Baca County,Cases,271
Colorado Case Counts by County,Bent County,Cases,1477
Colorado Case Counts by County,Boulder County,Cases,18799
Colorado Case Counts by County,Broomfield County,Cases,3737
Colorado Case Counts by County,Chaffee County,Cases,1442
Colorado Case Counts by County,Cheyenne County,Cases,125
Colorado Case Counts by County,Clear Creek County,Cases,362
Colorado Case Counts by County,Conejos County,Cases,441
Colorado Case Counts by County,Costilla County,Cases,187
Colorado Case Counts by County,Crowley County,Cases,1979
Colorado Case Counts by County,Custer County,Cases,164
Colorado Case Counts by County,Delta County,Cases,2470
Colorado Case Counts by County,Denver County,Cases,59584
Colorado Case Counts by County,Dolores County,Cases,68
Colorado Case Counts by County,Douglas County,Cases,21327
Colorado Case Counts by County,Eagle County,Cases,5065
Colorado Case Counts by County,El Paso County,Cases,51975
Colorado Case Counts by County,Elbert County,Cases,1286
Colorado Case Counts by County,Fremont County,Cases,5459
Colorado Case Counts by County,Garfield County,Cases,5096
Colorado Case Counts by County,Gilpin County,Cases,168
Colorado Case Counts by County,Grand County,Cases,1271
Colorado Case Counts by County,Gunnison County,Cases,1203
Colorado Case Counts by County,Hinsdale County,Cases,17
Colorado Case Counts by County,Huerfano County,Cases,309
Colorado Case Counts by County,International,Cases,49
Colorado Case Counts by County,Jackson County,Cases,51
Colorado Case Counts by County,Jefferson County,Cases,37202
Colorado Case Counts by County,Kiowa County,Cases,91
Colorado Case Counts by County,Kit Carson County,Cases,535
Colorado Case Counts by County,La Plata County,Cases,2968
Colorado Case Counts by County,Lake County,Cases,658
Colorado Case Counts by County,Larimer County,Cases,20072
Colorado Case Counts by County,Las Animas County,Cases,994
Colorado Case Counts by County,Lincoln County,Cases,997
Colorado Case Counts by County,Logan County,Cases,3713
Colorado Case Counts by County,Mesa County,Cases,13299
Colorado Case Counts by County,Mineral County,Cases,61
Colorado Case Counts by County,Moffat County,Cases,669
Colorado Case Counts by County,Montezuma County,Cases,1728
Colorado Case Counts by County,Montrose County,Cases,3244
Colorado Case Counts by County,Morgan County,Cases,2423
Colorado Case Counts by County,Otero County,Cases,1860
Colorado Case Counts by County,Ouray County,Cases,257
Colorado Case Counts by County,Park County,Cases,551
Colorado Case Counts by County,Phillips County,Cases,337
Colorado Case Counts by County,Pitkin County,Cases,2010
Colorado Case Counts by County,Prowers County,Cases,1159
Colorado Case Counts by County,Pueblo County,Cases,15007
Colorado Case Counts by County,Rio Blanco County,Cases,471
Colorado Case Counts by County,Rio Grande County,Cases,701
Colorado Case Counts by County,Routt County,Cases,1887
Colorado Case Counts by County,Saguache County,Cases,319
Colorado Case Counts by County,San Juan County,Cases,42
Colorado Case Counts by County,San Miguel County,Cases,820
Colorado Case Counts by County,Sedgwick County,Cases,191
Colorado Case Counts by County,Summit County,Cases,3029
Colorado Case Counts by County,Teller County,Cases,1269
Colorado Case Counts by County,Washington County,Cases,380
Colorado Case Counts by County,Weld County,Cases,25465
Colorado Case Counts by County,Yuma County,Cases,709
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,4.14
