description,attribute,metric,value
State Data,Statewide,Cases,506405
State Data,Statewide,Hospitalizations,27668
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,2896143
State Data,Statewide,Test Encounters,7744901
State Data,Statewide,Deaths Among Cases,6272
State Data,Statewide,Deaths Due to COVID-19,6420
State Data,Statewide,Outbreaks,4891
State Data,Statewide,Rate Per 100000,8785.69
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,55682
Colorado Case Counts by County,Alamosa County,Cases,1443
Colorado Case Counts by County,Arapahoe County,Cases,57089
Colorado Case Counts by County,Archuleta County,Cases,894
Colorado Case Counts by County,Baca County,Cases,286
Colorado Case Counts by County,Bent County,Cases,1513
Colorado Case Counts by County,Boulder County,Cases,22669
Colorado Case Counts by County,Broomfield County,Cases,4628
Colorado Case Counts by County,Chaffee County,Cases,1606
Colorado Case Counts by County,Cheyenne County,Cases,128
Colorado Case Counts by County,Clear Creek County,Cases,434
Colorado Case Counts by County,Conejos County,Cases,500
Colorado Case Counts by County,Costilla County,Cases,208
Colorado Case Counts by County,Crowley County,Cases,2161
Colorado Case Counts by County,Custer County,Cases,189
Colorado Case Counts by County,Delta County,Cases,2661
Colorado Case Counts by County,Denver County,Cases,70027
Colorado Case Counts by County,Dolores County,Cases,77
Colorado Case Counts by County,Douglas County,Cases,27477
Colorado Case Counts by County,Eagle County,Cases,6184
Colorado Case Counts by County,El Paso County,Cases,63082
Colorado Case Counts by County,Elbert County,Cases,1644
Colorado Case Counts by County,Fremont County,Cases,5972
Colorado Case Counts by County,Garfield County,Cases,5740
Colorado Case Counts by County,Gilpin County,Cases,220
Colorado Case Counts by County,Grand County,Cases,1441
Colorado Case Counts by County,Gunnison County,Cases,1317
Colorado Case Counts by County,Hinsdale County,Cases,18
Colorado Case Counts by County,Huerfano County,Cases,372
Colorado Case Counts by County,International,Cases,66
Colorado Case Counts by County,Jackson County,Cases,56
Colorado Case Counts by County,Jefferson County,Cases,44644
Colorado Case Counts by County,Kiowa County,Cases,93
Colorado Case Counts by County,Kit Carson County,Cases,604
Colorado Case Counts by County,La Plata County,Cases,3803
Colorado Case Counts by County,Lake County,Cases,771
Colorado Case Counts by County,Larimer County,Cases,25211
Colorado Case Counts by County,Las Animas County,Cases,1100
Colorado Case Counts by County,Lincoln County,Cases,1019
Colorado Case Counts by County,Logan County,Cases,3927
Colorado Case Counts by County,Mesa County,Cases,14244
Colorado Case Counts by County,Mineral County,Cases,86
Colorado Case Counts by County,Moffat County,Cases,743
Colorado Case Counts by County,Montezuma County,Cases,1871
Colorado Case Counts by County,Montrose County,Cases,3405
Colorado Case Counts by County,Morgan County,Cases,2609
Colorado Case Counts by County,Otero County,Cases,1945
Colorado Case Counts by County,Ouray County,Cases,281
Colorado Case Counts by County,Park County,Cases,722
Colorado Case Counts by County,Phillips County,Cases,368
Colorado Case Counts by County,Pitkin County,Cases,2579
Colorado Case Counts by County,Prowers County,Cases,1202
