description,attribute,metric,value
State Data,Statewide,Cases,435762
State Data,Statewide,Hospitalizations,23886
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,2610434
State Data,Statewide,Test Encounters,6376960
State Data,Statewide,Deaths Among Cases,5986
State Data,Statewide,Deaths Due to COVID-19,5995
State Data,Statewide,Outbreaks,3977
State Data,Statewide,Rate Per 100000,7560.09
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,49123
Colorado Case Counts by County,Alamosa County,Cases,1310
Colorado Case Counts by County,Arapahoe County,Cases,49234
Colorado Case Counts by County,Archuleta County,Cases,675
Colorado Case Counts by County,Baca County,Cases,273
Colorado Case Counts by County,Bent County,Cases,1481
Colorado Case Counts by County,Boulder County,Cases,19148
Colorado Case Counts by County,Broomfield County,Cases,3852
Colorado Case Counts by County,Chaffee County,Cases,1464
Colorado Case Counts by County,Cheyenne County,Cases,125
Colorado Case Counts by County,Clear Creek County,Cases,368
Colorado Case Counts by County,Conejos County,Cases,446
Colorado Case Counts by County,Costilla County,Cases,191
Colorado Case Counts by County,Crowley County,Cases,2073
Colorado Case Counts by County,Custer County,Cases,164
Colorado Case Counts by County,Delta County,Cases,2485
Colorado Case Counts by County,Denver County,Cases,60505
Colorado Case Counts by County,Dolores County,Cases,69
Colorado Case Counts by County,Douglas County,Cases,21897
Colorado Case Counts by County,Eagle County,Cases,5224
Colorado Case Counts by County,El Paso County,Cases,52976
Colorado Case Counts by County,Elbert County,Cases,1297
Colorado Case Counts by County,Fremont County,Cases,5527
Colorado Case Counts by County,Garfield County,Cases,5141
Colorado Case Counts by County,Gilpin County,Cases,172
Colorado Case Counts by County,Grand County,Cases,1289
Colorado Case Counts by County,Gunnison County,Cases,1212
Colorado Case Counts by County,Hinsdale County,Cases,16
Colorado Case Counts by County,Huerfano County,Cases,316
Colorado Case Counts by County,International,Cases,51
Colorado Case Counts by County,Jackson County,Cases,51
Colorado Case Counts by County,Jefferson County,Cases,37933
Colorado Case Counts by County,Kiowa County,Cases,91
Colorado Case Counts by County,Kit Carson County,Cases,546
Colorado Case Counts by County,La Plata County,Cases,3024
Colorado Case Counts by County,Lake County,Cases,661
Colorado Case Counts by County,Larimer County,Cases,20524
Colorado Case Counts by County,Las Animas County,Cases,1007
Colorado Case Counts by County,Lincoln County,Cases,998
Colorado Case Counts by County,Logan County,Cases,3755
Colorado Case Counts by County,Mesa County,Cases,13467
Colorado Case Counts by County,Mineral County,Cases,69
Colorado Case Counts by County,Moffat County,Cases,681
Colorado Case Counts by County,Montezuma County,Cases,1738
Colorado Case Counts by County,Montrose County,Cases,3275
Colorado Case Counts by County,Morgan County,Cases,2450
Colorado Case Counts by County,Otero County,Cases,1866
Colorado Case Counts by County,Ouray County,Cases,262
Colorado Case Counts by County,Park County,Cases,562
Colorado Case Counts by County,Phillips County,Cases,340
Colorado Case Counts by County,Pitkin County,Cases,2084
Colorado Case Counts by County,Prowers County,Cases,1162
Colorado Case Counts by County,Pueblo County,Cases,15177
Colorado Case Counts by County,Rio Blanco County,Cases,485
Colorado Case Counts by County,Rio Grande County,Cases,724
Colorado Case Counts by County,Routt County,Cases,1930
Colorado Case Counts by County,Saguache County,Cases,326
Colorado Case Counts by County,San Juan County,Cases,43
Colorado Case Counts by County,San Miguel County,Cases,829
Colorado Case Counts by County,Sedgwick County,Cases,191
Colorado Case Counts by County,Summit County,Cases,3073
Colorado Case Counts by County,Teller County,Cases,1287
Colorado Case Counts by County,Washington County,Cases,398
Colorado Case Counts by County,Weld County,Cases,25926
Colorado Case Counts by County,Yuma County,Cases,723
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,4.16
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,11.23
