description,attribute,metric,value
State Data,Statewide,Cases,667366
State Data,Statewide,Hospitalizations,38485
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,3695239
State Data,Statewide,Test Encounters,11070161
State Data,Statewide,Deaths Among Cases,7522
State Data,Statewide,Deaths Due to COVID-19,7822
State Data,Statewide,Outbreaks,6117
State Data,Statewide,Rate Per 100000,11578.22
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,70493
Colorado Case Counts by County,Alamosa County,Cases,2116
Colorado Case Counts by County,Arapahoe County,Cases,73654
Colorado Case Counts by County,Archuleta County,Cases,1357
Colorado Case Counts by County,Baca County,Cases,389
Colorado Case Counts by County,Bent County,Cases,1612
Colorado Case Counts by County,Boulder County,Cases,28426
Colorado Case Counts by County,Broomfield County,Cases,6142
Colorado Case Counts by County,Chaffee County,Cases,2075
Colorado Case Counts by County,Cheyenne County,Cases,158
Colorado Case Counts by County,Clear Creek County,Cases,692
Colorado Case Counts by County,Conejos County,Cases,870
Colorado Case Counts by County,Costilla County,Cases,333
Colorado Case Counts by County,Crowley County,Cases,2296
Colorado Case Counts by County,Custer County,Cases,300
Colorado Case Counts by County,Delta County,Cases,3453
Colorado Case Counts by County,Denver County,Cases,85477
Colorado Case Counts by County,Dolores County,Cases,181
Colorado Case Counts by County,Douglas County,Cases,37077
Colorado Case Counts by County,Eagle County,Cases,7871
Colorado Case Counts by County,El Paso County,Cases,91095
Colorado Case Counts by County,Elbert County,Cases,2397
Colorado Case Counts by County,Fremont County,Cases,7418
Colorado Case Counts by County,Garfield County,Cases,7219
Colorado Case Counts by County,Gilpin County,Cases,395
Colorado Case Counts by County,Grand County,Cases,1993
Colorado Case Counts by County,Gunnison County,Cases,1734
Colorado Case Counts by County,Hinsdale County,Cases,53
Colorado Case Counts by County,Huerfano County,Cases,565
Colorado Case Counts by County,International,Cases,93
Colorado Case Counts by County,Jackson County,Cases,90
Colorado Case Counts by County,Jefferson County,Cases,57866
Colorado Case Counts by County,Kiowa County,Cases,120
Colorado Case Counts by County,Kit Carson County,Cases,839
Colorado Case Counts by County,La Plata County,Cases,5231
Colorado Case Counts by County,Lake County,Cases,958
Colorado Case Counts by County,Larimer County,Cases,34996
Colorado Case Counts by County,Las Animas County,Cases,1633
Colorado Case Counts by County,Lincoln County,Cases,1206
Colorado Case Counts by County,Logan County,Cases,4399
Colorado Case Counts by County,Mesa County,Cases,21357
Colorado Case Counts by County,Mineral County,Cases,110
Colorado Case Counts by County,Moffat County,Cases,1657
Colorado Case Counts by County,Montezuma County,Cases,2607
Colorado Case Counts by County,Montrose County,Cases,4637
Colorado Case Counts by County,Morgan County,Cases,3115
Colorado Case Counts by County,Otero County,Cases,2336
Colorado Case Counts by County,Ouray County,Cases,380
Colorado Case Counts by County,Park County,Cases,1179
Colorado Case Counts by County,Phillips County,Cases,468
Colorado Case Counts by County,Pitkin County,Cases,2994
Colorado Case Counts by County,Prowers County,Cases,1473
Colorado Case Counts by County,Pueblo County,Cases,22479
Colorado Case Counts by County,Rio Blanco County,Cases,846
Colorado Case Counts by County,Rio Grande County,Cases,1194
Colorado Case Counts by County,Routt County,Cases,3068
Colorado Case Counts by County,Saguache County,Cases,566
Colorado Case Counts by County,San Juan County,Cases,87
Colorado Case Counts by County,San Miguel County,Cases,1117
Colorado Case Counts by County,Sedgwick County,Cases,276
Colorado Case Counts by County,Summit County,Cases,4517
Colorado Case Counts by County,Teller County,Cases,2408
Colorado Case Counts by County,Washington County,Cases,527
Colorado Case Counts by County,Weld County,Cases,41625
Colorado Case Counts by County,Yuma County,Cases,1071
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,5.44
