description,attribute,metric,value
State Data,Statewide,Cases,561912
State Data,Statewide,Hospitalizations,32051
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,3198457
State Data,Statewide,Test Encounters,9162581
State Data,Statewide,Deaths Among Cases,6837
State Data,Statewide,Deaths Due to COVID-19,7070
State Data,Statewide,Outbreaks,5526
State Data,Statewide,Rate Per 100000,9748.69
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,61256
Colorado Case Counts by County,Alamosa County,Cases,1746
Colorado Case Counts by County,Arapahoe County,Cases,63161
Colorado Case Counts by County,Archuleta County,Cases,1076
Colorado Case Counts by County,Baca County,Cases,325
Colorado Case Counts by County,Bent County,Cases,1545
Colorado Case Counts by County,Boulder County,Cases,24133
Colorado Case Counts by County,Broomfield County,Cases,5029
Colorado Case Counts by County,Chaffee County,Cases,1782
Colorado Case Counts by County,Cheyenne County,Cases,130
Colorado Case Counts by County,Clear Creek County,Cases,483
Colorado Case Counts by County,Conejos County,Cases,746
Colorado Case Counts by County,Costilla County,Cases,252
Colorado Case Counts by County,Crowley County,Cases,2216
Colorado Case Counts by County,Custer County,Cases,230
Colorado Case Counts by County,Delta County,Cases,2986
Colorado Case Counts by County,Denver County,Cases,74712
Colorado Case Counts by County,Dolores County,Cases,130
Colorado Case Counts by County,Douglas County,Cases,30737
Colorado Case Counts by County,Eagle County,Cases,6387
Colorado Case Counts by County,El Paso County,Cases,74046
Colorado Case Counts by County,Elbert County,Cases,1900
Colorado Case Counts by County,Fremont County,Cases,6567
Colorado Case Counts by County,Garfield County,Cases,6251
Colorado Case Counts by County,Gilpin County,Cases,285
Colorado Case Counts by County,Grand County,Cases,1510
Colorado Case Counts by County,Gunnison County,Cases,1405
Colorado Case Counts by County,Hinsdale County,Cases,26
Colorado Case Counts by County,Huerfano County,Cases,442
Colorado Case Counts by County,International,Cases,76
Colorado Case Counts by County,Jackson County,Cases,67
Colorado Case Counts by County,Jefferson County,Cases,49174
Colorado Case Counts by County,Kiowa County,Cases,95
Colorado Case Counts by County,Kit Carson County,Cases,649
Colorado Case Counts by County,La Plata County,Cases,4193
Colorado Case Counts by County,Lake County,Cases,837
Colorado Case Counts by County,Larimer County,Cases,27947
Colorado Case Counts by County,Las Animas County,Cases,1203
Colorado Case Counts by County,Lincoln County,Cases,1037
Colorado Case Counts by County,Logan County,Cases,4067
Colorado Case Counts by County,Mesa County,Cases,17561
Colorado Case Counts by County,Mineral County,Cases,94
Colorado Case Counts by County,Moffat County,Cases,1080
Colorado Case Counts by County,Montezuma County,Cases,2115
Colorado Case Counts by County,Montrose County,Cases,3845
Colorado Case Counts by County,Morgan County,Cases,2761
Colorado Case Counts by County,Otero County,Cases,2090
Colorado Case Counts by County,Ouray County,Cases,306
Colorado Case Counts by County,Park County,Cases,838
Colorado Case Counts by County,Phillips County,Cases,400
Colorado Case Counts by County,Pitkin County,Cases,2627
Colorado Case Counts by County,Prowers County,Cases,1280
Colorado Case Counts by County,Pueblo County,Cases,19673
Colorado Case Counts by County,Rio Blanco County,Cases,647
Colorado Case Counts by County,Rio Grande County,Cases,919
Colorado Case Counts by County,Routt County,Cases,2329
Colorado Case Counts by County,Saguache County,Cases,462
Colorado Case Counts by County,San Juan County,Cases,47
Colorado Case Counts by County,San Miguel County,Cases,931
Colorado Case Counts by County,Sedgwick County,Cases,236
Colorado Case Counts by County,Summit County,Cases,3779
Colorado Case Counts by County,Teller County,Cases,1931
Colorado Case Counts by County,Washington County,Cases,474
Colorado Case Counts by County,Weld County,Cases,33679
Colorado Case Counts by County,Yuma County,Cases,969
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,4.68
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,12.38
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,21.88
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,18.19
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,15.03
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,12.75
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,8.24
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,4.03
COVID-19 in Colorado by Age Group,80+,Percent of Cases,2.8
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.02
COVID-19 in Colorado by Age Group,0-9,Percent of Deaths,0.04
COVID-19 in Colorado by Age Group,10-19,Percent of Deaths,0.2
COVID-19 in Colorado by Age Group,20-29,Percent of Deaths,0.88
COVID-19 in Colorado by Age Group,30-39,Percent of Deaths,1.27
COVID-19 in Colorado by Age Group,40-49,Percent of Deaths,3
COVID-19 in Colorado by Age Group,50-59,Percent of Deaths,6.55
COVID-19 in Colorado by Age Group,60-69,Percent of Deaths,13.18
COVID-19 in Colorado by Age Group,70-79,Percent of Deaths,24.24
