description,attribute,metric,value
State Data,Statewide,Cases,597281
State Data,Statewide,Hospitalizations,34930
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,3377831
State Data,Statewide,Test Encounters,9852392
State Data,Statewide,Deaths Among Cases,7056
State Data,Statewide,Deaths Due to COVID-19,7327
State Data,Statewide,Outbreaks,5682
State Data,Statewide,Rate Per 100000,10362.31
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,64449
Colorado Case Counts by County,Alamosa County,Cases,1862
Colorado Case Counts by County,Arapahoe County,Cases,66886
Colorado Case Counts by County,Archuleta County,Cases,1216
Colorado Case Counts by County,Baca County,Cases,345
Colorado Case Counts by County,Bent County,Cases,1554
Colorado Case Counts by County,Boulder County,Cases,25652
Colorado Case Counts by County,Broomfield County,Cases,5440
Colorado Case Counts by County,Chaffee County,Cases,1889
Colorado Case Counts by County,Cheyenne County,Cases,144
Colorado Case Counts by County,Clear Creek County,Cases,538
Colorado Case Counts by County,Conejos County,Cases,778
Colorado Case Counts by County,Costilla County,Cases,264
Colorado Case Counts by County,Crowley County,Cases,2223
Colorado Case Counts by County,Custer County,Cases,245
Colorado Case Counts by County,Delta County,Cases,3194
Colorado Case Counts by County,Denver County,Cases,78791
Colorado Case Counts by County,Dolores County,Cases,138
Colorado Case Counts by County,Douglas County,Cases,32802
Colorado Case Counts by County,Eagle County,Cases,6929
Colorado Case Counts by County,El Paso County,Cases,79746
Colorado Case Counts by County,Elbert County,Cases,2010
Colorado Case Counts by County,Fremont County,Cases,6763
Colorado Case Counts by County,Garfield County,Cases,6632
Colorado Case Counts by County,Gilpin County,Cases,309
Colorado Case Counts by County,Grand County,Cases,1586
Colorado Case Counts by County,Gunnison County,Cases,1477
Colorado Case Counts by County,Hinsdale County,Cases,39
Colorado Case Counts by County,Huerfano County,Cases,477
Colorado Case Counts by County,International,Cases,86
Colorado Case Counts by County,Jackson County,Cases,69
Colorado Case Counts by County,Jefferson County,Cases,52096
Colorado Case Counts by County,Kiowa County,Cases,102
Colorado Case Counts by County,Kit Carson County,Cases,706
Colorado Case Counts by County,La Plata County,Cases,4567
Colorado Case Counts by County,Lake County,Cases,879
Colorado Case Counts by County,Larimer County,Cases,30277
Colorado Case Counts by County,Las Animas County,Cases,1374
Colorado Case Counts by County,Lincoln County,Cases,1071
Colorado Case Counts by County,Logan County,Cases,4122
Colorado Case Counts by County,Mesa County,Cases,18796
Colorado Case Counts by County,Mineral County,Cases,100
Colorado Case Counts by County,Moffat County,Cases,1256
Colorado Case Counts by County,Montezuma County,Cases,2262
Colorado Case Counts by County,Montrose County,Cases,4184
Colorado Case Counts by County,Morgan County,Cases,2831
Colorado Case Counts by County,Otero County,Cases,2121
Colorado Case Counts by County,Ouray County,Cases,337
Colorado Case Counts by County,Park County,Cases,957
Colorado Case Counts by County,Phillips County,Cases,413
Colorado Case Counts by County,Pitkin County,Cases,2753
Colorado Case Counts by County,Prowers County,Cases,1334
Colorado Case Counts by County,Pueblo County,Cases,20412
Colorado Case Counts by County,Rio Blanco County,Cases,725
Colorado Case Counts by County,Rio Grande County,Cases,993
Colorado Case Counts by County,Routt County,Cases,2568
Colorado Case Counts by County,Saguache County,Cases,487
Colorado Case Counts by County,San Juan County,Cases,82
Colorado Case Counts by County,San Miguel County,Cases,986
Colorado Case Counts by County,Sedgwick County,Cases,252
Colorado Case Counts by County,Summit County,Cases,4180
Colorado Case Counts by County,Teller County,Cases,2041
Colorado Case Counts by County,Washington County,Cases,481
Colorado Case Counts by County,Weld County,Cases,36007
Colorado Case Counts by County,Yuma County,Cases,996
