description,attribute,metric,value
State Data,Statewide,Cases,578276
State Data,Statewide,Hospitalizations,32975
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,3292222
State Data,Statewide,Test Encounters,9525773
State Data,Statewide,Deaths Among Cases,6957
State Data,Statewide,Deaths Due to COVID-19,7218
State Data,Statewide,Outbreaks,5599
State Data,Statewide,Rate Per 100000,10032.59
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,62752
Colorado Case Counts by County,Alamosa County,Cases,1809
Colorado Case Counts by County,Arapahoe County,Cases,64774
Colorado Case Counts by County,Archuleta County,Cases,1153
Colorado Case Counts by County,Baca County,Cases,331
Colorado Case Counts by County,Bent County,Cases,1550
Colorado Case Counts by County,Boulder County,Cases,24861
Colorado Case Counts by County,Broomfield County,Cases,5219
Colorado Case Counts by County,Chaffee County,Cases,1849
Colorado Case Counts by County,Cheyenne County,Cases,133
Colorado Case Counts by County,Clear Creek County,Cases,510
Colorado Case Counts by County,Conejos County,Cases,765
Colorado Case Counts by County,Costilla County,Cases,258
Colorado Case Counts by County,Crowley County,Cases,2218
Colorado Case Counts by County,Custer County,Cases,239
Colorado Case Counts by County,Delta County,Cases,3137
Colorado Case Counts by County,Denver County,Cases,76534
Colorado Case Counts by County,Dolores County,Cases,132
Colorado Case Counts by County,Douglas County,Cases,31587
Colorado Case Counts by County,Eagle County,Cases,6561
Colorado Case Counts by County,El Paso County,Cases,76758
Colorado Case Counts by County,Elbert County,Cases,1957
Colorado Case Counts by County,Fremont County,Cases,6667
Colorado Case Counts by County,Garfield County,Cases,6492
Colorado Case Counts by County,Gilpin County,Cases,294
Colorado Case Counts by County,Grand County,Cases,1541
Colorado Case Counts by County,Gunnison County,Cases,1434
Colorado Case Counts by County,Hinsdale County,Cases,34
Colorado Case Counts by County,Huerfano County,Cases,456
Colorado Case Counts by County,International,Cases,82
Colorado Case Counts by County,Jackson County,Cases,68
Colorado Case Counts by County,Jefferson County,Cases,50483
Colorado Case Counts by County,Kiowa County,Cases,95
Colorado Case Counts by County,Kit Carson County,Cases,672
