description,attribute,metric,value
State Data,Statewide,Cases,563642
State Data,Statewide,Hospitalizations,32178
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,3210495
State Data,Statewide,Test Encounters,9211339
State Data,Statewide,Deaths Among Cases,6861
State Data,Statewide,Deaths Due to COVID-19,7083
State Data,Statewide,Outbreaks,5538
State Data,Statewide,Rate Per 100000,9778.7
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,61393
Colorado Case Counts by County,Alamosa County,Cases,1750
Colorado Case Counts by County,Arapahoe County,Cases,63333
Colorado Case Counts by County,Archuleta County,Cases,1088
Colorado Case Counts by County,Baca County,Cases,325
Colorado Case Counts by County,Bent County,Cases,1545
Colorado Case Counts by County,Boulder County,Cases,24213
Colorado Case Counts by County,Broomfield County,Cases,5044
Colorado Case Counts by County,Chaffee County,Cases,1787
Colorado Case Counts by County,Cheyenne County,Cases,130
Colorado Case Counts by County,Clear Creek County,Cases,483
Colorado Case Counts by County,Conejos County,Cases,749
Colorado Case Counts by County,Costilla County,Cases,252
Colorado Case Counts by County,Crowley County,Cases,2216
Colorado Case Counts by County,Custer County,Cases,235
Colorado Case Counts by County,Delta County,Cases,3029
Colorado Case Counts by County,Denver County,Cases,74889
Colorado Case Counts by County,Dolores County,Cases,130
Colorado Case Counts by County,Douglas County,Cases,30835
Colorado Case Counts by County,Eagle County,Cases,6404
Colorado Case Counts by County,El Paso County,Cases,74353
Colorado Case Counts by County,Elbert County,Cases,1904
Colorado Case Counts by County,Fremont County,Cases,6574
Colorado Case Counts by County,Garfield County,Cases,6290
Colorado Case Counts by County,Gilpin County,Cases,286
Colorado Case Counts by County,Grand County,Cases,1513
Colorado Case Counts by County,Gunnison County,Cases,1407
Colorado Case Counts by County,Hinsdale County,Cases,27
Colorado Case Counts by County,Huerfano County,Cases,444
Colorado Case Counts by County,International,Cases,79
Colorado Case Counts by County,Jackson County,Cases,67
Colorado Case Counts by County,Jefferson County,Cases,49280
Colorado Case Counts by County,Kiowa County,Cases,95
Colorado Case Counts by County,Kit Carson County,Cases,653
Colorado Case Counts by County,La Plata County,Cases,4209
Colorado Case Counts by County,Lake County,Cases,839
Colorado Case Counts by County,Larimer County,Cases,28034
Colorado Case Counts by County,Las Animas County,Cases,1215
Colorado Case Counts by County,Lincoln County,Cases,1037
Colorado Case Counts by County,Logan County,Cases,4069
Colorado Case Counts by County,Mesa County,Cases,17676
Colorado Case Counts by County,Mineral County,Cases,94
Colorado Case Counts by County,Moffat County,Cases,1097
Colorado Case Counts by County,Montezuma County,Cases,2123
Colorado Case Counts by County,Montrose County,Cases,3872
Colorado Case Counts by County,Morgan County,Cases,2763
Colorado Case Counts by County,Otero County,Cases,2090
Colorado Case Counts by County,Ouray County,Cases,308
Colorado Case Counts by County,Park County,Cases,847
Colorado Case Counts by County,Phillips County,Cases,400
Colorado Case Counts by County,Pitkin County,Cases,2635
Colorado Case Counts by County,Prowers County,Cases,1281
Colorado Case Counts by County,Pueblo County,Cases,19693
Colorado Case Counts by County,Rio Blanco County,Cases,659
Colorado Case Counts by County,Rio Grande County,Cases,927
Colorado Case Counts by County,Routt County,Cases,2352
Colorado Case Counts by County,Saguache County,Cases,465
Colorado Case Counts by County,San Juan County,Cases,47
Colorado Case Counts by County,San Miguel County,Cases,934
Colorado Case Counts by County,Sedgwick County,Cases,235
Colorado Case Counts by County,Summit County,Cases,3794
Colorado Case Counts by County,Teller County,Cases,1936
Colorado Case Counts by County,Washington County,Cases,474
Colorado Case Counts by County,Weld County,Cases,33766
Colorado Case Counts by County,Yuma County,Cases,969
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,4.68
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,12.38
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,21.88
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,18.19
